Prod_id,Product_Category,Product_Sub_Category
Prod_1,OFFICE SUPPLIES,STORAGE & ORGANIZATION
Prod_2,OFFICE SUPPLIES,APPLIANCES
Prod_3,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES
Prod_4,TECHNOLOGY,TELEPHONES AND COMMUNICATION
Prod_5,FURNITURE,OFFICE FURNISHINGS
Prod_6,OFFICE SUPPLIES,PAPER
Prod_7,OFFICE SUPPLIES,RUBBER BANDS
Prod_8,TECHNOLOGY,COMPUTER PERIPHERALS
Prod_9,OFFICE SUPPLIES,ENVELOPES
Prod_10,FURNITURE,BOOKCASES
Prod_11,FURNITURE,TABLES
Prod_12,OFFICE SUPPLIES,LABELS
Prod_13,OFFICE SUPPLIES,PENS & ART SUPPLIES
Prod_14,TECHNOLOGY,COPIERS AND FAX
Prod_15,FURNITURE,CHAIRS & CHAIRMATS
Prod_16,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS"
Prod_17,TECHNOLOGY,OFFICE MACHINES
